NOC,Games,Year,Season,City,Sport,Event,Medal,NOC_Year_Event_Medal,region
DEN,1900 Summer,1900,Summer,Paris,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold,DEN1900Tug-Of-War Men's Tug-Of-WarGold,Denmark
FIN,1920 Summer,1920,Summer,Antwerpen,Swimming,Swimming Men's 200 metres Breaststroke,Bronze,FIN1920Swimming Men's 200 metres BreaststrokeBronze,Finland
FIN,1920 Summer,1920,Summer,Antwerpen,Swimming,Swimming Men's 400 metres Breaststroke,Bronze,FIN1920Swimming Men's 400 metres BreaststrokeBronze,Finland
FIN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze,FIN2014Ice Hockey Men's Ice HockeyBronze,Finland
FIN,1948 Summer,1948,Summer,London,Gymnastics,Gymnastics Men's Individual All-Around,Bronze,FIN1948Gymnastics Men's Individual All-AroundBronze,Finland
FIN,1948 Summer,1948,Summer,London,Gymnastics,Gymnastics Men's Team All-Around,Gold,FIN1948Gymnastics Men's Team All-AroundGold,Finland
FIN,1948 Summer,1948,Summer,London,Gymnastics,Gymnastics Men's Horse Vault,Gold,FIN1948Gymnastics Men's Horse VaultGold,Finland
FIN,1948 Summer,1948,Summer,London,Gymnastics,Gymnastics Men's Pommelled Horse,Gold,FIN1948Gymnastics Men's Pommelled HorseGold,Finland
FIN,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Team All-Around,Bronze,FIN1952Gymnastics Men's Team All-AroundBronze,Finland
NOR,1992 Winter,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Super G,Gold,NOR1992Alpine Skiing Men's Super GGold,Norway
NOR,1992 Winter,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Bronze,NOR1992Alpine Skiing Men's Giant SlalomBronze,Norway
NOR,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Downhill,Silver,NOR1994Alpine Skiing Men's DownhillSilver,Norway
NOR,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Super G,Bronze,NOR1994Alpine Skiing Men's Super GBronze,Norway
NOR,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Combined,Silver,NOR1994Alpine Skiing Men's CombinedSilver,Norway
NOR,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Super G,Gold,NOR2002Alpine Skiing Men's Super GGold,Norway
NOR,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Combined,Gold,NOR2002Alpine Skiing Men's CombinedGold,Norway
NOR,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Men's Super G,Gold,NOR2006Alpine Skiing Men's Super GGold,Norway
NOR,2008 Summer,2008,Summer,Beijing,Handball,Handball Women's Handball,Gold,NOR2008Handball Women's HandballGold,Norway
NOR,1920 Summer,1920,Summer,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Silver,"NOR1920Gymnastics Men's Team All-Around, Free SystemSilver",Norway
NED,1988 Summer,1988,Summer,Seoul,Hockey,Hockey Women's Hockey,Bronze,NED1988Hockey Women's HockeyBronze,Netherlands
NED,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Lightweight Double Sculls,Silver,NED1996Rowing Men's Lightweight Double ScullsSilver,Netherlands
NOR,1996 Summer,1996,Summer,Atlanta,Football,Football Women's Football,Bronze,NOR1996Football Women's FootballBronze,Norway
NOR,1952 Winter,1952,Winter,Oslo,Speed Skating,"Speed Skating Men's 1,500 metres",Bronze,"NOR1952Speed Skating Men's 1,500 metresBronze",Norway
NOR,1960 Winter,1960,Winter,Squaw Valley,Speed Skating,"Speed Skating Men's 1,500 metres",Gold,"NOR1960Speed Skating Men's 1,500 metresGold",Norway
NOR,1912 Summer,1912,Summer,Stockholm,Sailing,Sailing Mixed 8 metres,Gold,NOR1912Sailing Mixed 8 metresGold,Norway
FRA,1956 Summer,1956,Summer,Melbourne,Cycling,"Cycling Men's Road Race, Team",Gold,"FRA1956Cycling Men's Road Race, TeamGold",France
ITA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Pairs,Bronze,ITA2016Rowing Men's Coxless PairsBronze,Italy
ESP,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Men's epee, Individual",Bronze,"ESP2008Fencing Men's epee, IndividualBronze",Spain
AZE,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Women's Flyweight,Bronze,AZE2016Taekwondo Women's FlyweightBronze,Azerbaijan
RUS,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Javelin Throw,Silver,RUS2008Athletics Women's Javelin ThrowSilver,Russia
BLR,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold,"BLR2008Canoeing Men's Kayak Fours, 1,000 metresGold",Belarus
FRA,2008 Summer,2008,Summer,Beijing,Handball,Handball Men's Handball,Gold,FRA2008Handball Men's HandballGold,France
FRA,2012 Summer,2012,Summer,London,Handball,Handball Men's Handball,Gold,FRA2012Handball Men's HandballGold,France
FRA,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball,Silver,FRA2016Handball Men's HandballSilver,France
CMR,2000 Summer,2000,Summer,Sydney,Football,Football Men's Football,Gold,CMR2000Football Men's FootballGold,Cameroon
ESP,1996 Summer,1996,Summer,Atlanta,Water Polo,Water Polo Men's Water Polo,Gold,ESP1996Water Polo Men's Water PoloGold,Spain
USA,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver,"USA2004Wrestling Men's Featherweight, FreestyleSilver",USA
ESP,1980 Summer,1980,Summer,Moskva,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Gold,ESP1980Sailing Mixed Two Person Heavyweight DinghyGold,Spain
ESP,1984 Summer,1984,Summer,Los Angeles,Athletics,"Athletics Men's 1,500 metres",Bronze,"ESP1984Athletics Men's 1,500 metresBronze",Spain
RUS,2004 Summer,2004,Summer,Athina,Cycling,Cycling Women's Sprint,Silver,RUS2004Cycling Women's SprintSilver,Russia
HUN,1992 Summer,1992,Summer,Barcelona,Fencing,"Fencing Men's Sabre, Team",Silver,"HUN1992Fencing Men's Sabre, TeamSilver",Hungary
HUN,1936 Summer,1936,Summer,Berlin,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze,HUN1936Swimming Men's 4 x 200 metres Freestyle RelayBronze,Hungary
ITA,1936 Summer,1936,Summer,Berlin,Modern Pentathlon,Modern Pentathlon Men's Individual,Bronze,ITA1936Modern Pentathlon Men's IndividualBronze,Italy
ITA,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Quadruple Sculls,Gold,ITA1988Rowing Men's Quadruple ScullsGold,Italy
ITA,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Double Sculls,Gold,ITA1996Rowing Men's Double ScullsGold,Italy
ITA,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Quadruple Sculls,Gold,ITA2000Rowing Men's Quadruple ScullsGold,Italy
ITA,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Pairs,Gold,ITA1984Rowing Men's Coxed PairsGold,Italy
ITA,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Coxed Pairs,Gold,ITA1988Rowing Men's Coxed PairsGold,Italy
ITA,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxed Pairs,Silver,ITA1992Rowing Men's Coxed PairsSilver,Italy
GRE,1906 Summer,1906,Summer,Athina,Football,Football Men's Football,Bronze,GRE1906Football Men's FootballBronze,Greece
AUS,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Bronze,AUS2008Hockey Men's HockeyBronze,Australia
USA,2014 Winter,2014,Winter,Sochi,Figure Skating,Figure Skating Mixed Team,Bronze,USA2014Figure Skating Mixed TeamBronze,USA
USA,1900 Summer,1900,Summer,Paris,Golf,Golf Women's Individual,Gold,USA1900Golf Women's IndividualGold,USA
